기준일,서울,인천,경기,강원,충북,충남,대전,세종,경북,대구,전북,전남,광주,경남,부산,울산,제주,합계
2019,14952,2598,11750,2445,2412,2841,2555,903,4051,11313,1841,3326,2464,3626,3216,1447,18178,89918
2020,23393,5366,20477,4078,3883,5489,4469,1148,7051,12630,3323,5223,3210,6308,5355,2274,21285,134962
2021,40564,12820,39958,7946,8194,9991,7701,1859,11240,16185,7365,8708,5194,12606,12375,3166,25571,231443
2022,43206,14134,45891,8652,9683,11532,8595,2069,12318,17584,8404,9978,6015,14371,15330,3789,26702,258253
